job_title,ai_exposure_score,career_resilience_score,archetype,positioning_summary,top_strengths,top_exposure_areas,recommendations
"Supply Chain Planner",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Dispatch Coordinator",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Inventory Planner",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Procurement Analyst",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Data Entry Clerk",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Administrative Assistant",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Receptionist",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Scheduling Coordinator",69,34,"Adaptive Builder","Real exposure in parts of how you work—clarity now prevents drift later.","Adaptability; Specialized Expertise; Human-Centered Skills","Routine Task Patterns; Partial Task Automation; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Tax Accountant",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Audit Associate",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Budget Analyst",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Treasury Analyst",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Credit Analyst",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Revenue Operations Analyst",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Contract Paralegal",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Litigation Paralegal",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Regulatory Compliance Officer",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Corporate Governance Analyst",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Privacy Compliance Specialist",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Data Annotation Specialist",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"BI Reporting Analyst",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"SQL Analyst",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Data Quality Analyst",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"HR Analyst",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Payroll HR Specialist",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Compensation Analyst",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Learning and Development Specialist",52,51,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Sales Development Representative",48,55,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Adaptability; Contextual Judgment","Routine Task Patterns; Partial Task Automation; Industry Transformation Pace","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Inside Sales Representative",48,55,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Adaptability; Contextual Judgment","Routine Task Patterns; Partial Task Automation; Industry Transformation Pace","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Sales Operations Coordinator",48,55,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Adaptability; Contextual Judgment","Routine Task Patterns; Partial Task Automation; Industry Transformation Pace","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Lead Generation Specialist",48,55,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Adaptability; Contextual Judgment","Routine Task Patterns; Partial Task Automation; Industry Transformation Pace","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Database Administrator",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Platform Engineer",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Infrastructure Engineer",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Enterprise Architect",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Embedded Systems Engineer",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Mechanical Engineer",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Electrical Engineer",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Civil Engineer",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Process Engineer",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Manufacturing Engineer",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Research Engineer",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Laboratory Research Scientist",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Biostatistician",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Materials Scientist",46,57,"Systems-Oriented Thinker","Your positioning is still forming—a calm map of where you stand, not a verdict.","Specialized Expertise; Contextual Judgment; Strategic Thinking","Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Team Lead",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Office Manager",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Service Delivery Manager",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Practice Manager",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Medical Coder",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Health Information Manager",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Care Coordinator",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Nurse Practitioner",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Public Health Nurse",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"University Lecturer",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"School Principal",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Corporate Trainer",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Education Program Manager",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Electrician",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Contextual Judgment; Specialized Expertise; Adaptability","Routine Task Patterns; Limited Creative Differentiation; Reduced Interpersonal Dependency","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"HVAC Technician",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Contextual Judgment; Specialized Expertise; Adaptability","Routine Task Patterns; Limited Creative Differentiation; Reduced Interpersonal Dependency","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Plumber",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Contextual Judgment; Specialized Expertise; Adaptability","Routine Task Patterns; Limited Creative Differentiation; Reduced Interpersonal Dependency","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Automotive Technician",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Contextual Judgment; Specialized Expertise; Adaptability","Routine Task Patterns; Limited Creative Differentiation; Reduced Interpersonal Dependency","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Procurement Specialist",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Warehouse Manager",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Distribution Manager",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Fleet Manager",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Operations Coordinator",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Case Management Assistant",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Project Coordinator",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Documentation Specialist",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Policy Analyst",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Public Administration Officer",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Emergency Management Coordinator",45,57,"Measured Navigator","Your positioning is still forming—a calm map of where you stand, not a verdict.","Human-Centered Skills; Contextual Judgment; Adaptability","Routine Task Patterns; Limited Creative Differentiation","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Instructional Designer",41,63,"Creative Synthesizer","Your positioning is still forming—a calm map of where you stand, not a verdict.","Creative Problem-Solving; Adaptability; Strategic Thinking","Industry Transformation Pace; Partial Task Automation","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Curriculum Designer",41,63,"Creative Synthesizer","Your positioning is still forming—a calm map of where you stand, not a verdict.","Creative Problem-Solving; Adaptability; Strategic Thinking","Industry Transformation Pace; Partial Task Automation","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Learning Experience Designer",41,63,"Creative Synthesizer","Your positioning is still forming—a calm map of where you stand, not a verdict.","Creative Problem-Solving; Adaptability; Strategic Thinking","Industry Transformation Pace; Partial Task Automation","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Educational Content Developer",41,63,"Creative Synthesizer","Your positioning is still forming—a calm map of where you stand, not a verdict.","Creative Problem-Solving; Adaptability; Strategic Thinking","Industry Transformation Pace; Partial Task Automation","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Graphic Designer",41,63,"Creative Synthesizer","Your positioning is still forming—a calm map of where you stand, not a verdict.","Creative Problem-Solving; Adaptability; Strategic Thinking","Industry Transformation Pace; Partial Task Automation","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Marketing Copywriter",41,63,"Creative Synthesizer","Your positioning is still forming—a calm map of where you stand, not a verdict.","Creative Problem-Solving; Adaptability; Strategic Thinking","Industry Transformation Pace; Partial Task Automation","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Content Strategist",41,63,"Creative Synthesizer","Your positioning is still forming—a calm map of where you stand, not a verdict.","Creative Problem-Solving; Adaptability; Strategic Thinking","Industry Transformation Pace; Partial Task Automation","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Brand Designer",41,63,"Creative Synthesizer","Your positioning is still forming—a calm map of where you stand, not a verdict.","Creative Problem-Solving; Adaptability; Strategic Thinking","Industry Transformation Pace; Partial Task Automation","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Video Producer",41,63,"Creative Synthesizer","Your positioning is still forming—a calm map of where you stand, not a verdict.","Creative Problem-Solving; Adaptability; Strategic Thinking","Industry Transformation Pace; Partial Task Automation","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
