job_title,category,primary_riasec_type,secondary_riasec_type,ilonaa_ai_risk_index,ai_exposure_score,career_resilience_score,key_risk_drivers,human_advantage_factors,recommended_next_moves
"SQL Analyst","AI/data","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Data Quality Analyst","AI/data","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"HR Analyst","HR/people operations","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Payroll HR Specialist","HR/people operations","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Compensation Analyst","HR/people operations","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Learning and Development Specialist","HR/people operations","Conventional","Realistic",57,52,51,"Routine Task Patterns; Limited Creative Differentiation; Partial Task Automation","Specialized Expertise; Human-Centered Skills; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Sales Development Representative","sales/customer success","Social","Enterprising",55,48,55,"Routine Task Patterns; Partial Task Automation; Industry Transformation Pace","Human-Centered Skills; Adaptability; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Inside Sales Representative","sales/customer success","Social","Enterprising",55,48,55,"Routine Task Patterns; Partial Task Automation; Industry Transformation Pace","Human-Centered Skills; Adaptability; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Sales Operations Coordinator","sales/customer success","Social","Enterprising",55,48,55,"Routine Task Patterns; Partial Task Automation; Industry Transformation Pace","Human-Centered Skills; Adaptability; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Lead Generation Specialist","sales/customer success","Social","Enterprising",55,48,55,"Routine Task Patterns; Partial Task Automation; Industry Transformation Pace","Human-Centered Skills; Adaptability; Contextual Judgment","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Instructional Designer","education","Artistic","Enterprising",51,41,63,"Industry Transformation Pace; Partial Task Automation","Creative Problem-Solving; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Curriculum Designer","education","Artistic","Enterprising",51,41,63,"Industry Transformation Pace; Partial Task Automation","Creative Problem-Solving; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Learning Experience Designer","education","Artistic","Enterprising",51,41,63,"Industry Transformation Pace; Partial Task Automation","Creative Problem-Solving; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Educational Content Developer","education","Artistic","Enterprising",51,41,63,"Industry Transformation Pace; Partial Task Automation","Creative Problem-Solving; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Graphic Designer","marketing/creative","Artistic","Enterprising",51,41,63,"Industry Transformation Pace; Partial Task Automation","Creative Problem-Solving; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Marketing Copywriter","marketing/creative","Artistic","Enterprising",51,41,63,"Industry Transformation Pace; Partial Task Automation","Creative Problem-Solving; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Content Strategist","marketing/creative","Artistic","Enterprising",51,41,63,"Industry Transformation Pace; Partial Task Automation","Creative Problem-Solving; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Brand Designer","marketing/creative","Artistic","Enterprising",51,41,63,"Industry Transformation Pace; Partial Task Automation","Creative Problem-Solving; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Video Producer","marketing/creative","Artistic","Enterprising",51,41,63,"Industry Transformation Pace; Partial Task Automation","Creative Problem-Solving; Adaptability; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Senior Software Engineer","software/technology","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"DevOps Engineer","software/technology","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Site Reliability Engineer","software/technology","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Cloud Engineer","software/technology","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Cybersecurity Engineer","software/technology","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Solutions Architect","software/technology","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Machine Learning Engineer","AI/data","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Data Scientist","AI/data","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"AI Product Analyst","AI/data","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"MLOps Engineer","AI/data","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Automation Engineer","engineering/manufacturing","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Robotics Engineer","engineering/manufacturing","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Digital Twin Engineer","engineering/manufacturing","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Manufacturing Data Engineer","engineering/manufacturing","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Digital Marketing Manager","marketing/creative","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"SEO Specialist","marketing/creative","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Performance Marketing Analyst","marketing/creative","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Marketing Automation Manager","marketing/creative","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Social Media Strategist","marketing/creative","Enterprising","Investigative",51,40,64,"Industry Transformation Pace; Partial Task Automation; Routine Task Patterns","Adaptability; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Database Administrator","software/technology","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Platform Engineer","software/technology","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Infrastructure Engineer","software/technology","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Enterprise Architect","software/technology","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Embedded Systems Engineer","software/technology","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Mechanical Engineer","engineering/manufacturing","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Electrical Engineer","engineering/manufacturing","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Civil Engineer","engineering/manufacturing","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Process Engineer","engineering/manufacturing","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Manufacturing Engineer","engineering/manufacturing","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Research Engineer","science/research","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Laboratory Research Scientist","science/research","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Biostatistician","science/research","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Materials Scientist","science/research","Realistic","Investigative",49,46,57,"Reduced Interpersonal Dependency; Industry Transformation Pace; Routine Task Patterns","Specialized Expertise; Contextual Judgment; Strategic Thinking","Strategic Communication; AI-Assisted Decision Making; Complex Problem-Solving"
"Team Lead","management/leadership","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Office Manager","management/leadership","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Service Delivery Manager","management/leadership","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Practice Manager","management/leadership","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Medical Coder","healthcare","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Health Information Manager","healthcare","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Care Coordinator","healthcare","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Nurse Practitioner","healthcare","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Public Health Nurse","healthcare","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"University Lecturer","education","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"School Principal","education","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Corporate Trainer","education","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Education Program Manager","education","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Procurement Specialist","operations/logistics","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Warehouse Manager","operations/logistics","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Distribution Manager","operations/logistics","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Fleet Manager","operations/logistics","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Operations Coordinator","operations/logistics","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Case Management Assistant","administration/support","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Project Coordinator","administration/support","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Documentation Specialist","administration/support","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Policy Analyst","public sector/social work","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
"Public Administration Officer","public sector/social work","Social","Realistic",45,45,57,"Routine Task Patterns; Limited Creative Differentiation","Human-Centered Skills; Contextual Judgment; Adaptability","Interdisciplinary Thinking; Strategic Communication; AI-Assisted Decision Making"
