occupation_code,occupation_title,category,primary_riasec,secondary_riasec,current_ai_exposure,current_career_resilience,current_ilonaa_ai_risk_index,expected_ai_risk_band,expected_ai_risk_score,expected_rationale,mismatch_current_minus_expected,absolute_mismatch,likely_responsible_factor,mismatch_explanation
"ONET-00106","Field Service Technician","skilled trades","Realistic","Conventional",43,64,42,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"decision consequence/accountability underweighted","Field Service Technician (skilled trades) appears overestimated by 13 points versus human-prior benchmark."
"ONET-00195","Policy Analyst","public sector/social work","Social","Conventional",49,51,49,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"human trust/relationship depth underweighted","Policy Analyst (public sector/social work) appears overestimated by 13 points versus human-prior benchmark."
"ONET-00196","Public Administration Officer","public sector/social work","Social","Conventional",49,51,49,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"human trust/relationship depth underweighted","Public Administration Officer (public sector/social work) appears overestimated by 13 points versus human-prior benchmark."
"ONET-00197","Emergency Management Coordinator","public sector/social work","Social","Conventional",49,51,49,"Low",36,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",13,13,"human trust/relationship depth underweighted","Emergency Management Coordinator (public sector/social work) appears overestimated by 13 points versus human-prior benchmark."
"ONET-00074","Radiologist","healthcare","Social","Investigative",43,64,42,"Low",31,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",11,11,"decision consequence/accountability underweighted","Radiologist (healthcare) appears overestimated by 11 points versus human-prior benchmark."
"ONET-00075","Pharmacist","healthcare","Social","Investigative",43,64,42,"Low",31,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",11,11,"decision consequence/accountability underweighted","Pharmacist (healthcare) appears overestimated by 11 points versus human-prior benchmark."
"ONET-00076","Clinical Laboratory Scientist","healthcare","Social","Investigative",43,64,42,"Low",31,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",11,11,"decision consequence/accountability underweighted","Clinical Laboratory Scientist (healthcare) appears overestimated by 11 points versus human-prior benchmark."
"ONET-00077","Anesthesiologist","healthcare","Social","Investigative",43,64,42,"Low",31,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",11,11,"decision consequence/accountability underweighted","Anesthesiologist (healthcare) appears overestimated by 11 points versus human-prior benchmark."
"ONET-00091","University Lecturer","education","Social","Artistic",49,51,49,"Low",39,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",10,10,"human trust/relationship depth underweighted","University Lecturer (education) appears overestimated by 10 points versus human-prior benchmark."
"ONET-00092","School Principal","education","Social","Artistic",49,51,49,"Low",39,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",10,10,"human trust/relationship depth underweighted","School Principal (education) appears overestimated by 10 points versus human-prior benchmark."
"ONET-00093","Corporate Trainer","education","Social","Artistic",49,51,49,"Low",39,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",10,10,"human trust/relationship depth underweighted","Corporate Trainer (education) appears overestimated by 10 points versus human-prior benchmark."
"ONET-00094","Education Program Manager","education","Social","Artistic",49,51,49,"Low",39,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",10,10,"human trust/relationship depth underweighted","Education Program Manager (education) appears overestimated by 10 points versus human-prior benchmark."
"ONET-00191","Social Worker","public sector/social work","Social","Conventional",42,58,43,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",10,10,"decision consequence/accountability underweighted","Social Worker (public sector/social work) appears overestimated by 10 points versus human-prior benchmark."
"ONET-00192","Case Worker","public sector/social work","Social","Conventional",42,58,43,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",10,10,"decision consequence/accountability underweighted","Case Worker (public sector/social work) appears overestimated by 10 points versus human-prior benchmark."
"ONET-00193","Community Outreach Coordinator","public sector/social work","Social","Conventional",42,58,43,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",10,10,"decision consequence/accountability underweighted","Community Outreach Coordinator (public sector/social work) appears overestimated by 10 points versus human-prior benchmark."
"ONET-00194","School Counselor","public sector/social work","Social","Conventional",42,58,43,"Low",33,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",10,10,"decision consequence/accountability underweighted","School Counselor (public sector/social work) appears overestimated by 10 points versus human-prior benchmark."
"ONET-00018","Contract Paralegal","legal/compliance","Conventional","Investigative",57,49,53,"Medium",44,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",9,9,"routine/process structure likely overweighted","Contract Paralegal (legal/compliance) appears overestimated by 9 points versus human-prior benchmark."
"ONET-00019","Litigation Paralegal","legal/compliance","Conventional","Investigative",57,49,53,"Medium",44,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",9,9,"routine/process structure likely overweighted","Litigation Paralegal (legal/compliance) appears overestimated by 9 points versus human-prior benchmark."
"ONET-00020","Regulatory Compliance Officer","legal/compliance","Conventional","Investigative",57,49,53,"Medium",44,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",9,9,"routine/process structure likely overweighted","Regulatory Compliance Officer (legal/compliance) appears overestimated by 9 points versus human-prior benchmark."
"ONET-00021","Corporate Governance Analyst","legal/compliance","Conventional","Investigative",57,49,53,"Medium",44,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",9,9,"routine/process structure likely overweighted","Corporate Governance Analyst (legal/compliance) appears overestimated by 9 points versus human-prior benchmark."
"ONET-00022","Privacy Compliance Specialist","legal/compliance","Conventional","Investigative",57,49,53,"Medium",44,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",9,9,"routine/process structure likely overweighted","Privacy Compliance Specialist (legal/compliance) appears overestimated by 9 points versus human-prior benchmark."
"ONET-00027","Junior QA Tester","software/technology","Investigative","Realistic",75,33,67,"Medium",58,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",9,9,"routine/process structure likely overweighted","Junior QA Tester (software/technology) appears overestimated by 9 points versus human-prior benchmark."
"ONET-00028","Manual Test Analyst","software/technology","Investigative","Realistic",75,33,67,"Medium",58,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",9,9,"routine/process structure likely overweighted","Manual Test Analyst (software/technology) appears overestimated by 9 points versus human-prior benchmark."
"ONET-00029","Technical Support Specialist","software/technology","Investigative","Realistic",75,33,67,"Medium",58,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",9,9,"routine/process structure likely overweighted","Technical Support Specialist (software/technology) appears overestimated by 9 points versus human-prior benchmark."
"ONET-00030","Implementation Specialist","software/technology","Investigative","Realistic",75,33,67,"Medium",58,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",9,9,"routine/process structure likely overweighted","Implementation Specialist (software/technology) appears overestimated by 9 points versus human-prior benchmark."
"ONET-00031","IT Helpdesk Analyst","software/technology","Investigative","Realistic",75,33,67,"Medium",58,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",9,9,"routine/process structure likely overweighted","IT Helpdesk Analyst (software/technology) appears overestimated by 9 points versus human-prior benchmark."
"ONET-00069","Registered Nurse","healthcare","Social","Investigative",36,69,37,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",8,8,"decision consequence/accountability underweighted","Registered Nurse (healthcare) appears overestimated by 8 points versus human-prior benchmark."
"ONET-00070","Primary Care Physician","healthcare","Social","Investigative",36,69,37,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",8,8,"decision consequence/accountability underweighted","Primary Care Physician (healthcare) appears overestimated by 8 points versus human-prior benchmark."
"ONET-00071","Physical Therapist","healthcare","Social","Investigative",36,69,37,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",8,8,"decision consequence/accountability underweighted","Physical Therapist (healthcare) appears overestimated by 8 points versus human-prior benchmark."
"ONET-00072","Occupational Therapist","healthcare","Social","Investigative",36,69,37,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",8,8,"decision consequence/accountability underweighted","Occupational Therapist (healthcare) appears overestimated by 8 points versus human-prior benchmark."
"ONET-00073","Clinical Social Worker","healthcare","Social","Investigative",36,69,37,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",8,8,"decision consequence/accountability underweighted","Clinical Social Worker (healthcare) appears overestimated by 8 points versus human-prior benchmark."
"ONET-00107","Mechanical Engineer","engineering/manufacturing","Investigative","Realistic",50,58,47,"Low",39,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",8,8,"physical presence/hands-on execution underweighted","Mechanical Engineer (engineering/manufacturing) appears overestimated by 8 points versus human-prior benchmark."
"ONET-00108","Electrical Engineer","engineering/manufacturing","Investigative","Realistic",50,58,47,"Low",39,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",8,8,"physical presence/hands-on execution underweighted","Electrical Engineer (engineering/manufacturing) appears overestimated by 8 points versus human-prior benchmark."
"ONET-00109","Civil Engineer","engineering/manufacturing","Investigative","Realistic",50,58,47,"Low",39,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",8,8,"physical presence/hands-on execution underweighted","Civil Engineer (engineering/manufacturing) appears overestimated by 8 points versus human-prior benchmark."
"ONET-00110","Process Engineer","engineering/manufacturing","Investigative","Realistic",50,58,47,"Low",39,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",8,8,"physical presence/hands-on execution underweighted","Process Engineer (engineering/manufacturing) appears overestimated by 8 points versus human-prior benchmark."
"ONET-00111","Manufacturing Engineer","engineering/manufacturing","Investigative","Realistic",50,58,47,"Low",39,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",8,8,"physical presence/hands-on execution underweighted","Manufacturing Engineer (engineering/manufacturing) appears overestimated by 8 points versus human-prior benchmark."
"ONET-00001","Accounts Payable Specialist","finance/accounting","Conventional","Enterprising",75,33,67,"High",60,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"routine/process structure likely overweighted","Accounts Payable Specialist (finance/accounting) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00002","Accounts Receivable Specialist","finance/accounting","Conventional","Enterprising",75,33,67,"High",60,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"routine/process structure likely overweighted","Accounts Receivable Specialist (finance/accounting) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00003","Bookkeeper","finance/accounting","Conventional","Enterprising",75,33,67,"High",60,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"routine/process structure likely overweighted","Bookkeeper (finance/accounting) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00004","Payroll Specialist","finance/accounting","Conventional","Enterprising",75,33,67,"High",60,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"routine/process structure likely overweighted","Payroll Specialist (finance/accounting) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00112","Quality Engineer","engineering/manufacturing","Investigative","Realistic",43,64,42,"Low",35,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"decision consequence/accountability underweighted","Quality Engineer (engineering/manufacturing) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00113","Reliability Engineer","engineering/manufacturing","Investigative","Realistic",43,64,42,"Low",35,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"decision consequence/accountability underweighted","Reliability Engineer (engineering/manufacturing) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00114","Control Systems Engineer","engineering/manufacturing","Investigative","Realistic",43,64,42,"Low",35,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"decision consequence/accountability underweighted","Control Systems Engineer (engineering/manufacturing) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00115","Industrial Engineer","engineering/manufacturing","Investigative","Realistic",43,64,42,"Low",35,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"decision consequence/accountability underweighted","Industrial Engineer (engineering/manufacturing) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00116","Hardware Engineer","engineering/manufacturing","Investigative","Realistic",43,64,42,"Low",35,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"decision consequence/accountability underweighted","Hardware Engineer (engineering/manufacturing) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00198","City Planner","public sector/social work","Social","Conventional",31,74,33,"Low",26,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"decision consequence/accountability underweighted","City Planner (public sector/social work) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00199","Public Health Program Manager","public sector/social work","Social","Conventional",31,74,33,"Low",26,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"decision consequence/accountability underweighted","Public Health Program Manager (public sector/social work) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00200","Nonprofit Program Director","public sector/social work","Social","Conventional",31,74,33,"Low",26,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",7,7,"decision consequence/accountability underweighted","Nonprofit Program Director (public sector/social work) appears overestimated by 7 points versus human-prior benchmark."
"ONET-00065","Team Lead","management/leadership","Enterprising","Social",49,51,49,"Medium",43,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"human trust/relationship depth underweighted","Team Lead (management/leadership) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00066","Office Manager","management/leadership","Enterprising","Social",49,51,49,"Medium",43,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"human trust/relationship depth underweighted","Office Manager (management/leadership) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00067","Service Delivery Manager","management/leadership","Enterprising","Social",49,51,49,"Medium",43,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"human trust/relationship depth underweighted","Service Delivery Manager (management/leadership) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00068","Practice Manager","management/leadership","Enterprising","Social",49,51,49,"Medium",43,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"human trust/relationship depth underweighted","Practice Manager (management/leadership) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00087","Instructional Designer","education","Social","Artistic",33,70,35,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"routine/process structure likely overweighted","Instructional Designer (education) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00088","Curriculum Designer","education","Social","Artistic",33,70,35,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"routine/process structure likely overweighted","Curriculum Designer (education) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00089","Learning Experience Designer","education","Social","Artistic",33,70,35,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"routine/process structure likely overweighted","Learning Experience Designer (education) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00090","Educational Content Developer","education","Social","Artistic",33,70,35,"Low",29,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"routine/process structure likely overweighted","Educational Content Developer (education) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00125","Sales Development Representative","sales/customer success","Enterprising","Social",53,54,50,"Medium",44,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"human trust/relationship depth underweighted","Sales Development Representative (sales/customer success) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00126","Inside Sales Representative","sales/customer success","Enterprising","Social",53,54,50,"Medium",44,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"human trust/relationship depth underweighted","Inside Sales Representative (sales/customer success) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00127","Sales Operations Coordinator","sales/customer success","Enterprising","Social",53,54,50,"Medium",44,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"human trust/relationship depth underweighted","Sales Operations Coordinator (sales/customer success) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00128","Lead Generation Specialist","sales/customer success","Enterprising","Social",53,54,50,"Medium",44,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"human trust/relationship depth underweighted","Lead Generation Specialist (sales/customer success) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00157","Logistics Coordinator","operations/logistics","Conventional","Realistic",75,33,67,"High",61,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"routine/process structure likely overweighted","Logistics Coordinator (operations/logistics) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00158","Supply Chain Planner","operations/logistics","Conventional","Realistic",75,33,67,"High",61,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"routine/process structure likely overweighted","Supply Chain Planner (operations/logistics) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00159","Dispatch Coordinator","operations/logistics","Conventional","Realistic",75,33,67,"High",61,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"routine/process structure likely overweighted","Dispatch Coordinator (operations/logistics) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00160","Inventory Planner","operations/logistics","Conventional","Realistic",75,33,67,"High",61,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"routine/process structure likely overweighted","Inventory Planner (operations/logistics) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00161","Procurement Analyst","operations/logistics","Conventional","Realistic",75,33,67,"High",61,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",6,6,"routine/process structure likely overweighted","Procurement Analyst (operations/logistics) appears overestimated by 6 points versus human-prior benchmark."
"ONET-00175","Executive Assistant","administration/support","Conventional","Social",36,69,37,"Medium",43,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",-6,6,"AI disruption pressure likely underweighted","Executive Assistant (administration/support) appears underestimated by 6 points versus human-prior benchmark."
"ONET-00176","Client Services Coordinator","administration/support","Conventional","Social",36,69,37,"Medium",43,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",-6,6,"AI disruption pressure likely underweighted","Client Services Coordinator (administration/support) appears underestimated by 6 points versus human-prior benchmark."
"ONET-00177","Office Administrator","administration/support","Conventional","Social",36,69,37,"Medium",43,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",-6,6,"AI disruption pressure likely underweighted","Office Administrator (administration/support) appears underestimated by 6 points versus human-prior benchmark."
"ONET-00083","High School Teacher","education","Social","Artistic",36,69,37,"Low",32,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",5,5,"decision consequence/accountability underweighted","High School Teacher (education) appears overestimated by 5 points versus human-prior benchmark."
"ONET-00084","Elementary Teacher","education","Social","Artistic",36,69,37,"Low",32,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",5,5,"decision consequence/accountability underweighted","Elementary Teacher (education) appears overestimated by 5 points versus human-prior benchmark."
"ONET-00085","Special Education Teacher","education","Social","Artistic",36,69,37,"Low",32,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",5,5,"decision consequence/accountability underweighted","Special Education Teacher (education) appears overestimated by 5 points versus human-prior benchmark."
"ONET-00086","Academic Advisor","education","Social","Artistic",36,69,37,"Low",32,"Conservative prior: automability pressure from routine/process structure is balanced against judgment/accountability, human trust needs, and physical execution requirements.",5,5,"decision consequence/accountability underweighted","Academic Advisor (education) appears overestimated by 5 points versus human-prior benchmark."
